[2026-01-25 22:23:20,444 INFO -Running: 1_raw_schema_fix_and_index.sql]
[2026-01-25 22:23:22,425 INFO - Completed: 1_raw_schema_fix_and_index.sql]
[2026-01-25 22:23:22,427 INFO -Running: 2_data_cleaning_views.sql]
[2026-01-25 22:23:22,751 INFO - Completed: 2_data_cleaning_views.sql]
[2026-01-25 22:23:22,753 INFO -Running: 3_data_validation.sql]
[2026-01-25 22:23:23,072 INFO - Completed: 3_data_validation.sql]
[2026-01-25 22:23:23,074 INFO -Running: 4_feature_engineering_aggregations.sql]
[2026-01-25 22:23:23,760 INFO - Completed: 4_feature_engineering_aggregations.sql]
[2026-01-25 22:23:23,762 INFO -Running: 5_master_table.sql]
