[2026-01-26 01:25:21,868 INFO -Running: 1_raw_schema_fix_and_index.sql]
[2026-01-26 01:25:23,955 INFO - Completed: 1_raw_schema_fix_and_index.sql]
[2026-01-26 01:25:23,956 INFO -Running: 2_data_cleaning_views.sql]
[2026-01-26 01:25:24,319 INFO - Completed: 2_data_cleaning_views.sql]
[2026-01-26 01:25:24,321 INFO -Running: 3_data_validation.sql]
[2026-01-26 01:25:24,658 INFO - Completed: 3_data_validation.sql]
[2026-01-26 01:25:24,659 INFO -Running: 4_feature_engineering_aggregations.sql]
[2026-01-26 01:25:25,332 INFO - Completed: 4_feature_engineering_aggregations.sql]
[2026-01-26 01:25:25,334 INFO -Running: 5_master_table.sql]
[2026-01-26 01:34:35,609 INFO - Completed: 5_master_table.sql]
