[2026-01-26 01:49:43,597 INFO -Running: 1_raw_schema_fix_and_index.sql]
[2026-01-26 01:49:45,411 INFO - Completed: 1_raw_schema_fix_and_index.sql]
[2026-01-26 01:49:45,412 INFO -Running: 2_data_cleaning_views.sql]
[2026-01-26 01:49:45,736 INFO - Completed: 2_data_cleaning_views.sql]
[2026-01-26 01:49:45,737 INFO -Running: 3_data_validation.sql]
[2026-01-26 01:49:46,052 INFO - Completed: 3_data_validation.sql]
[2026-01-26 01:49:46,053 INFO -Running: 4_feature_engineering_aggregations.sql]
[2026-01-26 01:49:46,705 INFO - Completed: 4_feature_engineering_aggregations.sql]
[2026-01-26 01:49:46,707 INFO -Running: 5_master_table.sql]
[2026-01-26 01:49:47,062 INFO - Completed: 5_master_table.sql]
