[2026-01-26 01:42:45,684 INFO -Running: 1_raw_schema_fix_and_index.sql]
[2026-01-26 01:42:47,694 INFO - Completed: 1_raw_schema_fix_and_index.sql]
[2026-01-26 01:42:47,695 INFO -Running: 2_data_cleaning_views.sql]
[2026-01-26 01:42:48,015 INFO - Completed: 2_data_cleaning_views.sql]
[2026-01-26 01:42:48,016 INFO -Running: 3_data_validation.sql]
[2026-01-26 01:42:48,331 INFO - Completed: 3_data_validation.sql]
[2026-01-26 01:42:48,332 INFO -Running: 4_feature_engineering_aggregations.sql]
[2026-01-26 01:42:48,980 INFO - Completed: 4_feature_engineering_aggregations.sql]
[2026-01-26 01:42:48,982 INFO -Running: 5_master_table.sql]
[2026-01-26 01:42:49,342 INFO - Completed: 5_master_table.sql]
