[2026-01-25 17:36:38,947 INFO -Running: 1_raw_schema_fix_and_index.sql]
[2026-01-25 17:36:40,857 INFO - Completed: 1_raw_schema_fix_and_index.sql]
[2026-01-25 17:36:40,859 INFO -Running: 2_data_cleaning_views.sql]
[2026-01-25 17:36:41,201 INFO - Completed: 2_data_cleaning_views.sql]
[2026-01-25 17:36:41,202 INFO -Running: 3_data_validation.sql]
[2026-01-25 17:36:41,551 INFO - Completed: 3_data_validation.sql]
[2026-01-25 17:36:41,552 INFO -Running: 4_feature_engineering_aggregations.sql]
[2026-01-25 17:36:42,245 INFO - Completed: 4_feature_engineering_aggregations.sql]
[2026-01-25 17:36:42,247 INFO -Running: 5_master_table.sql]
[2026-01-25 17:36:42,660 INFO - Completed: 5_master_table.sql]
