[2026-01-26 02:27:02,314 INFO -Running: 1_raw_schema_fix_and_index.sql]
[2026-01-26 02:27:04,186 INFO - Completed: 1_raw_schema_fix_and_index.sql]
[2026-01-26 02:27:04,188 INFO -Running: 2_data_cleaning_views.sql]
[2026-01-26 02:27:04,501 INFO - Completed: 2_data_cleaning_views.sql]
[2026-01-26 02:27:04,502 INFO -Running: 3_data_validation.sql]
[2026-01-26 02:27:04,814 INFO - Completed: 3_data_validation.sql]
[2026-01-26 02:27:04,815 INFO -Running: 4_feature_engineering_aggregations.sql]
[2026-01-26 02:27:05,458 INFO - Completed: 4_feature_engineering_aggregations.sql]
[2026-01-26 02:27:05,459 INFO -Running: 5_master_table.sql]
[2026-01-26 02:27:05,818 INFO - Completed: 5_master_table.sql]
